Nummer,Nummer_im_GIT,Domäne,site_name,ort,community,site_code,domain_seed,prefix4,old_prefix6,prefix6,mesh_id,hide_domain
27,27,domaene27,Freifunk Münsterland Domäne 27,Selm,Selm,ffmsd27,ff48143000000000000000000000000000000000000000000000000000000027,10.27.0.,2a03:2260:115:2700::,2a14:440:1:1b::,02:d1:11:37:fc:65,false
28,28,domaene28,Freifunk Münsterland Domäne 28,Horstmar,Kreis Steinfurt,ffmsd28,ff48143000000000000000000000000000000000000000000000000000000028,10.28.0.,2a03:2260:115:2800::,2a14:440:1:1c::,02:d1:11:37:fc:66,false
29,29,domaene29,Freifunk Münsterland Domäne 29,Laer,Kreis Steinfurt,ffmsd29,ff48143000000000000000000000000000000000000000000000000000000029,10.29.0.,2a03:2260:115:2900::,2a14:440:1:1d::,02:d1:11:37:fc:67,false
30,30,domaene30,Freifunk Münsterland Domäne 30,Nordwalde,Kreis Steinfurt,ffmsd30,ff48143000000000000000000000000000000000000000000000000000000030,10.30.0.,2a03:2260:115:3000::,2a14:440:1:1e::,02:d1:11:37:fc:68,false
31,31,domaene31,Freifunk Münsterland Domäne 31,Altenberge,Kreis Steinfurt,ffmsd31,ff48143000000000000000000000000000000000000000000000000000000031,10.31.0.,2a03:2260:115:3100::,2a14:440:1:1f::,02:d1:11:37:fc:69,false
32,32,domaene32,Freifunk Münsterland Domäne 32,Ahlen,Kreis Warendorf,ffmsd32,ff48143000000000000000000000000000000000000000000000000000000032,10.32.0.,2a03:2260:115:3200::,2a14:440:1:20::,02:d1:11:37:fc:70,false
33,33,domaene33,Freifunk Münsterland Domäne 33,Beckum,Kreis Warendorf,ffmsd33,ff48143000000000000000000000000000000000000000000000000000000033,10.33.0.,2a03:2260:115:3300::,2a14:440:1:21::,02:d1:11:37:fc:71,false
34,34,domaene34,Freifunk Münsterland Domäne 34,Beelen,Kreis Warendorf,ffmsd34,ff48143000000000000000000000000000000000000000000000000000000034,10.34.0.,2a03:2260:115:3400::,2a14:440:1:22::,02:d1:11:37:fc:72,false
35,35,domaene35,Freifunk Münsterland Domäne 35,Drensteinfurt,Kreis Warendorf,ffmsd35,ff48143000000000000000000000000000000000000000000000000000000035,10.35.0.,2a03:2260:115:3500::,2a14:440:1:23::,02:d1:11:37:fc:73,false
36,36,domaene36,Freifunk Münsterland Domäne 36,Ennigerloh,Kreis Warendorf,ffmsd36,ff48143000000000000000000000000000000000000000000000000000000036,10.36.0.,2a03:2260:115:3600::,2a14:440:1:24::,02:d1:11:37:fc:74,false
37,37,domaene37,Freifunk Münsterland Domäne 37,Everswinkel,Kreis Warendorf,ffmsd37,ff48143000000000000000000000000000000000000000000000000000000037,10.37.0.,2a03:2260:115:3700::,2a14:440:1:25::,02:d1:11:37:fc:75,false
38,38,domaene38,Freifunk Münsterland Domäne 38,Oelde,Kreis Warendorf,ffmsd38,ff48143000000000000000000000000000000000000000000000000000000038,10.38.0.,2a03:2260:115:3800::,2a14:440:1:26::,02:d1:11:37:fc:76,false
39,39,domaene39,Freifunk Münsterland Domäne 39,Ostbevern,Kreis Warendorf,ffmsd39,ff48143000000000000000000000000000000000000000000000000000000039,10.39.0.,2a03:2260:115:3900::,2a14:440:1:27::,02:d1:11:37:fc:77,false
40,40,domaene40,Freifunk Münsterland Domäne 40,Sassenberg,Kreis Warendorf,ffmsd40,ff48143000000000000000000000000000000000000000000000000000000040,10.40.0.,2a03:2260:115:4000::,2a14:440:1:28::,02:d1:11:37:fc:78,false
41,41,domaene41,Freifunk Münsterland Domäne 41,Sendenhorst,Kreis Warendorf,ffmsd41,ff48143000000000000000000000000000000000000000000000000000000041,10.41.0.,2a03:2260:115:4100::,2a14:440:1:29::,02:d1:11:37:fc:79,false
42,42,domaene42,Freifunk Münsterland Domäne 42,Wadersloh,Kreis Warendorf,ffmsd42,ff48143000000000000000000000000000000000000000000000000000000042,10.42.0.,2a03:2260:115:4200::,2a14:440:1:2a::,02:d1:11:37:fc:80,false
43,43,domaene43,Freifunk Münsterland Domäne 43,Warendorf,Kreis Warendorf,ffmsd43,ff48143000000000000000000000000000000000000000000000000000000043,10.43.0.,2a03:2260:115:4300::,2a14:440:1:2b::,02:d1:11:37:fc:81,false
44,44,domaene44,Freifunk Münsterland Domäne 44,Ascheberg,Kreis Coesfeld,ffmsd44,ff48143000000000000000000000000000000000000000000000000000000044,10.44.0.,2a03:2260:115:4400::,2a14:440:1:2c::,02:d1:11:37:fc:82,false
45,45,domaene45,Freifunk Münsterland Domäne 45,Billerbeck,Kreis Coesfeld,ffmsd45,ff48143000000000000000000000000000000000000000000000000000000045,10.45.0.,2a03:2260:115:4500::,2a14:440:1:2d::,02:d1:11:37:fc:83,false
46,46,domaene46,Freifunk Münsterland Domäne 46,Coesfeld,Kreis Coesfeld,ffmsd46,ff48143000000000000000000000000000000000000000000000000000000046,10.46.0.,2a03:2260:115:4600::,2a14:440:1:2e::,02:d1:11:37:fc:84,false
47,47,domaene47,Freifunk Münsterland Domäne 47,Havixbeck,Kreis Coesfeld,ffmsd47,ff48143000000000000000000000000000000000000000000000000000000047,10.47.0.,2a03:2260:115:4700::,2a14:440:1:2f::,02:d1:11:37:fc:85,false
48,48,domaene48,Freifunk Münsterland Domäne 48,Lüdinghausen,Kreis Coesfeld,ffmsd48,ff48143000000000000000000000000000000000000000000000000000000048,10.48.0.,2a03:2260:115:4800::,2a14:440:1:30::,02:d1:11:37:fc:86,false
49,49,domaene49,Freifunk Münsterland Domäne 49,Nordkirchen,Kreis Coesfeld,ffmsd49,ff48143000000000000000000000000000000000000000000000000000000049,10.49.0.,2a03:2260:115:4900::,2a14:440:1:31::,02:d1:11:37:fc:87,false
50,50,domaene50,Freifunk Münsterland Domäne 50,Nottuln,Kreis Coesfeld,ffmsd50,ff48143000000000000000000000000000000000000000000000000000000050,10.50.0.,2a03:2260:115:5000::,2a14:440:1:32::,02:d1:11:37:fc:88,false
51,51,domaene51,Freifunk Münsterland Domäne 51,Olfen,Kreis Coesfeld,ffmsd51,ff48143000000000000000000000000000000000000000000000000000000051,10.51.0.,2a03:2260:115:5100::,2a14:440:1:33::,02:d1:11:37:fc:89,false
52,52,domaene52,Freifunk Münsterland Domäne 52,Rosendahl,Kreis Coesfeld,ffmsd52,ff48143000000000000000000000000000000000000000000000000000000052,10.52.0.,2a03:2260:115:5200::,2a14:440:1:34::,02:d1:11:37:fc:90,false
53,53,domaene53,Freifunk Münsterland Domäne 53,Senden,Kreis Coesfeld,ffmsd53,ff48143000000000000000000000000000000000000000000000000000000053,10.53.0.,2a03:2260:115:5300::,2a14:440:1:35::,02:d1:11:37:fc:91,false
54,54,domaene54,Freifunk Münsterland Domäne 54,Ahaus,Westmünsterland,ffmsd54,ff48143000000000000000000000000000000000000000000000000000000054,10.54.0.,2a03:2260:115:5400::,2a14:440:1:36::,02:d1:11:37:fc:92,false
55,55,domaene55,Freifunk Münsterland Domäne 55,Heiden,Westmünsterland,ffmsd55,ff48143000000000000000000000000000000000000000000000000000000055,10.55.0.,2a03:2260:115:5500::,2a14:440:1:37::,02:d1:11:37:fc:93,false
56,56,domaene56,Freifunk Münsterland Domäne 56,Isselburg,Westmünsterland,ffmsd56,ff48143000000000000000000000000000000000000000000000000000000056,10.56.0.,2a03:2260:115:5600::,2a14:440:1:38::,02:d1:11:37:fc:94,false
57,57,domaene57,Freifunk Münsterland Domäne 57,Legden,Westmünsterland,ffmsd57,ff48143000000000000000000000000000000000000000000000000000000057,10.57.0.,2a03:2260:115:5700::,2a14:440:1:39::,02:d1:11:37:fc:95,false
58,58,domaene58,Freifunk Münsterland Domäne 58,Reken,Westmünsterland,ffmsd58,ff48143000000000000000000000000000000000000000000000000000000058,10.58.0.,2a03:2260:115:5800::,2a14:440:1:3a::,02:d1:11:37:fc:96,false
59,59,domaene59,Freifunk Münsterland Domäne 59,Rhede,Westmünsterland,ffmsd59,ff48143000000000000000000000000000000000000000000000000000000059,10.59.0.,2a03:2260:115:5900::,2a14:440:1:3b::,02:d1:11:37:fc:97,false
60,60,domaene60,Freifunk Münsterland Domäne 60,Schöppingen,Westmünsterland,ffmsd60,ff48143000000000000000000000000000000000000000000000000000000060,10.60.0.,2a03:2260:115:6000::,2a14:440:1:3c::,02:d1:11:37:fc:98,false
61,61,domaene61,Freifunk Münsterland Domäne 61,Südlohn,Westmünsterland,ffmsd61,ff48143000000000000000000000000000000000000000000000000000000061,10.61.0.,2a03:2260:115:6100::,2a14:440:1:3d::,02:d1:11:37:fc:99,false
62,62,domaene62,Freifunk Münsterland Domäne 62,Velen,Westmünsterland,ffmsd62,ff48143000000000000000000000000000000000000000000000000000000062,10.62.0.,2a03:2260:115:6200::,2a14:440:1:3e::,02:d1:11:37:f1:00,false
63,63,domaene63,Freifunk Münsterland Domäne 63,Vreden,Westmünsterland,ffmsd63,ff48143000000000000000000000000000000000000000000000000000000063,10.63.0.,2a03:2260:115:6300::,2a14:440:1:3f::,02:d1:11:37:f1:01,false
64,64,domaene64,Freifunk Münsterland Domäne 64,Borken-Süd,Borken,ffmsd64,ff48143000000000000000000000000000000000000000000000000000000064,10.64.0.,2a03:2260:115:6400::,2a14:440:1:40::,02:d1:11:37:f1:02,false
65,65,domaene65,Freifunk Münsterland Domäne 65,Ramschdomäne,Ramschcommunity,ffmsd65,ff48143000000000000000000000000000000000000000000000000000000065,10.65.0.,2a03:2260:115:6500::,2a14:440:1:41::,02:d1:11:37:f1:03,false
66,66,domaene66,Freifunk Münsterland Domäne 66,Bottrop,Emscherland,ffmsd66,ff48143000000000000000000000000000000000000000000000000000000066,10.66.0.,2a03:2260:115:6600::,2a14:440:1:42::,02:d1:11:37:f1:04,false
67,67,domaene67,Freifunk Münsterland Domäne 67,Dorsten,Emscherland,ffmsd67,ff48143000000000000000000000000000000000000000000000000000000067,10.67.0.,2a03:2260:115:6700::,2a14:440:1:43::,02:d1:11:37:f1:05,false
68,68,domaene68,Freifunk Münsterland Domäne 68,Gelsenkirchen,Emscherland,ffmsd68,ff48143000000000000000000000000000000000000000000000000000000068,10.68.0.,2a03:2260:115:6800::,2a14:440:1:44::,02:d1:11:37:f1:06,false
69,69,domaene69,Freifunk Münsterland Domäne 69,Gladbeck,Emscherland,ffmsd69,ff48143000000000000000000000000000000000000000000000000000000069,10.69.0.,2a03:2260:115:6900::,2a14:440:1:45::,02:d1:11:37:f1:07,false
70,70,domaene70,Freifunk Münsterland Domäne 70,Haltern am See,Emscherland,ffmsd70,ff48143000000000000000000000000000000000000000000000000000000070,10.70.0.,2a03:2260:115:7000::,2a14:440:1:46::,02:d1:11:37:f1:08,false
71,71,domaene71,Freifunk Münsterland Domäne 71,Herten,Emscherland,ffmsd71,ff48143000000000000000000000000000000000000000000000000000000071,10.71.0.,2a03:2260:115:7100::,2a14:440:1:47::,02:d1:11:37:f1:09,false
